url,url_length,num_dots,has_https,num_subdomains,has_ip,has_at_symbol,has_dash,has_multiple_slashes,domain_age_days,whois_registrar,whois_country,form_count,favicon_match,url_entropy,suspicious_tld,high_risk_keyword_count,contextual_keyword_count,high_risk_keywords,contextual_keywords,label
,37,,1,,,,,,,,,,,,,,,,,1
,39,,1,,,,,,,,,,,,,,,,,1
,39,,1,,,,,,,,,,,,,,,,,1
,31,,1,,,,,,,,,,,,,,,,,1
,44,,1,,,,,,,,,,,,,,,,,1
,38,,1,,,,,,,,,,,,,,,,,1
,44,,1,,,,,,,,,,,,,,,,,1
,42,,1,,,,,,,,,,,,,,,,,1
,43,,1,,,,,,,,,,,,,,,,,1
,29,,1,,,,,,,,,,,,,,,,,0
,22,,1,,,,,,,,,,,,,,,,,0
,32,,1,,,,,,,,,,,,,,,,,0
,26,,1,,,,,,,,,,,,,,,,,0
,27,,1,,,,,,,,,,,,,,,,,0
,27,,1,,,,,,,,,,,,,,,,,0
,43,,1,,,,,,,,,,,,,,,,,0
,31,,1,,,,,,,,,,,,,,,,,0
,30,,1,,,,,,,,,,,,,,,,,0
,24,,1,,,,,,,,,,,,,,,,,0
,35,,1,,,,,,,,,,,,,,,,,0
,33,,1,,,,,,,,,,,,,,,,,0
,34,,1,,,,,,,,,,,,,,,,,0
,23,,1,,,,,,,,,,,,,,,,,0
,23,,1,,,,,,,,,,,,,,,,,0
,21,,1,,,,,,,,,,,,,,,,,0
,21,,1,,,,,,,,,,,,,,,,,0
,26,,1,,,,,,,,,,,,,,,,,0
,20,,1,,,,,,,,,,,,,,,,,0
,21,,1,,,,,,,,,,,,,,,,,0
,23,,1,,,,,,,,,,,,,,,,,0
,31,,1,,,,,,,,,,,,,,,,,0
,27,,1,,,,,,,,,,,,,,,,,0
,24,,1,,,,,,,,,,,,,,,,,0
,26,,1,,,,,,,,,,,,,,,,,0
,28,,1,,,,,,,,,,,,,,,,,0
,28,,1,,,,,,,,,,,,,,,,,0
,24,,1,,,,,,,,,,,,,,,,,0
,22,,1,,,,,,,,,,,,,,,,,0
,23,,1,,,,,,,,,,,,,,,,,0
,27,,1,,,,,,,,,,,,,,,,,0
,22,,1,,,,,,,,,,,,,,,,,0
,25,,1,,,,,,,,,,,,,,,,,0
,28,,1,,,,,,,,,,,,,,,,,0
,29,,1,,,,,,,,,,,,,,,,,0
,38,,1,,,,,,,,,,,,,,,,,0
,37,,1,,,,,,,,,,,,,,,,,0
,37,,1,,,,,,,,,,,,,,,,,0
,55,,1,,,,,,,,,,,,,,,,,0
,35,,1,,,,,,,,,,,,,,,,,0
,34,,1,,,,,,,,,,,,,,,,,0
,96,,1,,,,,,,,,,,,,,,,,0
,42,,1,,,,,,,,,,,,,,,,,0
,40,,1,,,,,,,,,,,,,,,,,0
,51,,1,,,,,,,,,,,,,,,,,0
,226,,1,,,,,,,,,,,,,,,,,0
,48,,1,,,,,,,,,,,,,,,,,0
,44,,1,,,,,,,,,,,,,,,,,0
,51,,1,,,,,,,,,,,,,,,,,0
,43,,1,,,,,,,,,,,,,,,,,0
,39,,1,,,,,,,,,,,,,,,,,0
,41,,1,,,,,,,,,,,,,,,,,0
,49,,1,,,,,,,,,,,,,,,,,0
,42,,1,,,,,,,,,,,,,,,,,0
,74,,1,,,,,,,,,,,,,,,,,0
,74,,1,,,,,,,,,,,,,,,,,0
,46,,1,,,,,,,,,,,,,,,,,0
,68,,1,,,,,,,,,,,,,,,,,0
,81,,1,,,,,,,,,,,,,,,,,0
